iter	Passed	Remaining
0	0	72
1	1	67
2	1	64
3	2	61
4	3	58
5	3	57
6	4	55
7	4	54
8	5	53
9	5	52
10	6	51
11	6	50
12	7	50
13	8	49
14	8	48
15	9	48
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	12	45
22	13	44
23	13	43
24	14	43
25	14	42
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	38
33	19	37
34	19	37
35	20	36
36	21	35
37	21	35
38	22	35
39	23	34
40	24	34
41	25	34
42	25	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	34	27
55	34	27
56	35	26
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
