iter	Passed	Remaining
0	139	139260
1	141	70783
2	144	47887
3	146	36471
4	149	29668
5	151	25162
6	154	21897
7	155	19334
8	159	17542
9	162	16061
10	163	14712
11	166	13706
12	168	12787
13	171	12063
14	174	11454
15	177	10893
16	179	10400
17	182	9930
18	185	9561
19	188	9216
20	189	8823
21	191	8507
22	193	8234
23	194	7929
24	197	7713
25	200	7519
26	202	7296
27	204	7084
28	205	6883
29	207	6712
30	209	6561
31	211	6393
32	213	6253
33	216	6145
34	217	5991
35	218	5849
36	220	5734
37	221	5610
38	222	5488
39	223	5370
40	224	5256
41	226	5162
42	228	5075
43	230	5000
44	231	4906
45	232	4820
46	233	4738
47	235	4660
48	236	4588
49	237	4514
50	238	4446
51	240	4391
52	243	4347
53	244	4289
54	246	4233
55	247	4174
56	248	4113
57	249	4055
58	250	3997
59	251	3941
60	252	3889
61	253	3839
62	255	3802
63	257	3762
64	258	3717
65	259	3671
66	260	3634
67	262	3594
68	263	3553
69	264	3516
70	265	3479
71	266	3440
72	268	3408
73	270	3380
74	271	3350
75	273	3320
76	274	3285
77	275	3253
78	276	3222
79	277	3190
80	278	3161
81	279	3132
82	280	3098
83	281	3070
84	283	3047
85	285	3031
86	286	3010
87	288	2985
88	289	2959
89	290	2936
90	291	2914
91	293	2892
92	294	2868
93	295	2845
94	296	2823
95	298	2809
96	299	2790
97	301	2774
98	302	2754
99	304	2738
100	305	2720
101	306	2701
102	308	2682
103	309	2663
104	310	2644
105	311	2625
106	313	2613
107	315	2602
108	316	2589
109	318	2573
110	319	2558
111	321	2545
112	322	2528
113	323	2513
114	325	2502
115	326	2489
116	328	2477
117	330	2467
118	331	2453
119	332	2437
120	333	2424
121	334	2407
122	335	2392
123	336	2378
124	337	2364
125	338	2351
126	339	2335
127	340	2321
128	342	2314
129	345	2310
130	346	2300
131	349	2295
132	350	2284
133	351	2272
134	352	2260
135	353	2247
136	355	2239
137	357	2232
138	359	2227
139	361	2221
140	363	2211
141	364	2199
142	365	2188
143	366	2178
144	368	2175
145	372	2180
146	374	2172
147	376	2166
148	378	2160
149	379	2151
150	381	2142
151	382	2134
152	383	2123
153	384	2113
154	386	2107
155	388	2100
156	389	2093
157	391	2083
158	391	2073
159	393	2063
160	393	2052
161	395	2043
162	396	2034
163	397	2025
164	398	2017
165	400	2010
166	401	2003
167	403	1998
168	404	1991
169	406	1984
170	408	1978
171	410	1973
172	411	1968
173	413	1963
174	415	1956
175	416	1948
176	417	1943
177	419	1935
178	420	1927
179	421	1918
180	422	1911
181	423	1904
182	425	1898
183	427	1895
184	429	1890
185	430	1882
186	431	1874
187	432	1867
188	433	1861
189	434	1854
190	436	1846
191	437	1839
192	438	1832
193	439	1827
194	441	1822
195	443	1817
196	444	1810
197	445	1804
